tok,weight
('of', 'Yamato-yoza'),-1.0
('Emperor', 'Heizei'),2.0
('(', 'sightseeing'),0.0
1570-April,2.0
('Matsudaira', 'clan'),0.0
489,1.0
('under', 'the'),-111.0
('Onsho', 'award'),0.0
('table', ','),-2.0
("'s", 'formal'),0.0
('Western', 'world'),4.0
('south-western', 'part'),-1.0
(',', 'advocating'),0.0
bowl,-5.0
('Sadaakira', 'SUGANUMA'),6.0
('Goban-cho', 'is'),0.0
('history', 'written'),0.0
('1338', '-'),-1.0
('Yorifusa', 'ISHIDO'),1.0
('2000', '.'),-1.0
Agency,4.0
('street', 'which'),-1.0
Nikken,1.0
('was', 'centered'),-5.0
('juningiri', '"'),0.0
("'s", 'a'),-3.0
('Kideranomiya', 'family'),-3.0
Merit,0.0
('Shosei-en', 'Garden'),0.0
('an', 'early'),-6.0
Hogan,-3.0
(',', '2'),0.0
('sushi', 'fermented'),0.0
('HAGIWARA', '('),0.0
('important', 'Jodo'),0.0
('initiated', 'during'),0.0
('keeping', 'with'),4.0
('far', 'as'),-1.0
('Tamonin', 'Diary'),6.0
('brings', 'poverty'),-1.0
Itaro,2.0
('including', 'China'),-1.0
('rituals', 'during'),0.0
Haunted,-3.0
('Ballad', 'drama'),-2.0
('written', 'treatment'),0.0
('fish', 'made'),-1.0
('of', 'monster'),-2.0
('late', 'Asuka'),1.0
Shinnenkai,0.0
('(', 'player'),0.0
('10th', 'year'),0.0
('HAYASHI', 'and'),0.0
('celebratory', 'Noh'),-2.0
Okadakuni-jinja,0.0
('or', 'hachiho'),-1.0
('1292', ')'),0.0
('seasoning', 'in'),0.0
('1962', ')'),0.0
('Nijojo-mae', 'station'),0.0
('system', ','),-14.0
('SHONI', '('),1.0
('as', 'Crown'),4.0
('1095', '-'),1.0
('reforms', '.'),-2.0
('Chokusen', 'Kanshishu'),0.0
Bay,-9.0
('which', 'succeeds'),-1.0
('transliterated', 'as'),-1.0
('treaty', ','),-1.0
('subject', '.'),1.0
('and', 'jisharyo'),-6.0
soy-sauce,-2.0
('floats', 'used'),0.0
pedigree,3.0
('armor', ')'),-5.0
('Ming', 'army'),0.0
('Laminariales', ','),0.0
('Japanese', 'soup'),0.0
('fermented', 'soybean'),0.0
('May', '21,1729'),1.0
('Prefectural', 'Library'),0.0
('the', 'Isshiki'),1.0
('Koson', 'OTANI'),1.0
('policies', 'that'),-1.0
custodial,0.0
('an', 'idealized'),-3.0
('10th', ','),0.0
('Kamimusuhi', ','),-3.0
('Toilet', ')'),-1.0
('Soraku-gun', 'in'),-1.0
Tadayasu,-3.0
Yorimitsu,3.0
('Buddha', 'of'),-2.0
('The', 'Kinketsu'),0.0
OWARI,0.0
('the', '17'),-2.0
Kinmitsu,0.0
Amatsuhikone,0.0
('The', 'multi-capital'),0.0
('Japan', 'are'),-1.0
('director', 'with'),0.0
('Sanin', 'Main'),-12.0
('Police', 'Station'),-1.0
('barrow', 'refers'),0.0
('Basin', 'in'),-1.0
('Iwayu', '('),0.0
(';', 'these'),0.0
intelligence,-2.0
('betto', '&#91;'),-1.0
Yari-bugyo,-1.0
('Masakuni', 'SHIGEYAMA'),4.0
('reality', 'the'),1.0
('Jogen', 'no'),0.0
Shoku-Nihongi,3.0
('II', ')'),-6.0
('incense', 'stick'),-1.0
('September', '1st'),0.0
('(', 'Miyuki'),0.0
('Tsunehide', 'OINOMIKADO'),0.0
Engaku,-1.0
(',', '779'),0.0
('developed', 'by'),2.0
('carries', 'lists'),-1.0
('defense', 'of'),-2.0
('literati', 'in'),1.0
('Sannin', 'Kichisa'),-1.0
('City', 'is'),-3.0
('of', 'kagura'),0.0
bedroom,0.0
('a', 'muraji'),0.0
('warring', 'state'),1.0
('Yoshino', 'County'),-4.0
('Hiroshima', 'City'),0.0
(',', '920'),2.0
Nobusada,0.0
('Tadataru', 'DAIGO'),1.0
('and', 'ten'),-1.0
('Hiromasa', 'IWAKURA'),0.0
('(', 'not'),3.0
('Dondon-yake', 'is'),-1.0
('above', 'sea'),-1.0
Ju-kyo,0.0
('fixing', 'toes'),-2.0
('TOKIHARA', 'no'),0.0
('Tang', 'style'),0.0
('(', 'highest'),4.0
('on', 'skewers'),-2.0
('and', 'Yoshisada'),-5.0
('people', 'from'),-2.0
('post', 'belonging'),0.0
('a', 'heigushi'),-1.0
('1821', ','),1.0
Mountain,-1.0
('Sangi', 'councilors'),-1.0
('Tairo', 'was'),-5.0
('spirits', 'are'),-1.0
('Nagayasu', '('),1.0
('What', 'is'),-3.0
('Line', 'ofthe'),0.0
('pinnacle', 'placed'),-1.0
Sessho,4.0
悪,2.0
('Shuppinshu', 'is'),-1.0
('Ancient', 'Matter'),4.0
('on', 'Nishikikoji-dori'),-1.0
('of', 'distilled'),0.0
('by', 'slinging'),-1.0
('stuck', 'to'),0.0
('(', '1832-March'),0.0
('mirin', 'and'),-2.0
sleeved,0.0
('unusual', 'astronomical'),-3.0
('Hooteisetsu', 'is'),3.0
('in', 'Nagaokakyo'),-3.0
('mint', 'for'),-3.0
('Nobusuke', 'KONOE'),0.0
Oppo-ji,-1.0
(')', 'products'),-2.0
1218,1.0
Arisugawa,0.0
('and', 'fixing'),-2.0
('Sou', 'YAMAMURA'),0.0
kiyomizu-ware,4.0
('First', 'Korea-Japan'),-1.0
designates,3.0
('process', ','),-2.0
(',', '1249'),-3.0
('clan', ','),-2.0
('from', 'Yamashiro'),0.0
('their', 'contributions'),-1.0
Aizen,-2.0
('as', 'Ryoshun'),0.0
Subdues,1.0
('Tenka', 'San'),-1.0
(',', '1914'),4.0
('broken-ink', 'technique'),-2.0
Intangible,6.0
('compilations', 'of'),-1.0
('cooking', 'are'),0.0
('and', 'resentment'),-1.0
('Jusuke', 'HANAYAGI'),2.0
theories,-1.0
Geishogi,0.0
('Shonin', ','),0.0
('Suizei', 'located'),0.0
('Edo', 'was'),0.0
('Yamazaki', 'Distillery'),-2.0
('Shikobuchi', "'"),0.0
('down', 'by'),-4.0
('association', 'of'),-1.0
mediate,0.0
('means', 'kokudaka'),-4.0
daytime,-2.0
('passed', 'by'),0.0
('親朝', ','),1.0
('presents', 'the'),3.0
('gold', 'produced'),2.0
('To-ji', ','),-1.0
observer,0.0
('Nukatabetera-machi', ','),-1.0
Kannagi,-3.0
('its', 'ingredients'),-1.0
('noxious', 'bad'),0.0
('lineage', 'and'),0.0
('to', 'water'),0.0
('"', 'sangen'),-4.0
Shioya,1.0
Arisato,0.0
Geigi,0.0
('803', ')'),0.0
('soil', '('),0.0
('-', '1818'),0.0
('bodies', 'of'),-1.0
('water', 'drinking'),-4.0
Arimitsu,2.0
('Veneration', 'of'),-3.0
singed,-1.0
('term', 'Shinkansen'),0.0
('Palace', 'Poetry'),1.0
('he', 'had'),-2.0
bare,0.0
('The', 'Daigo'),0.0
('Shuju-no-ho', '"'),-2.0
Aki-gun,-1.0
Takana,0.0
('registration', 'systems'),0.0
('an', 'ango'),-1.0
brief,0.0
('an', 'administration'),-2.0
('day', 'Nishiyoshino'),-1.0
Shinsen-en,-1.0
('(', 'number'),1.0
('bo', '('),0.0
('(', '1860-1933'),2.0
('Province', ';'),0.0
('a', 'thunderbolt'),-2.0
tying,-9.0
Uryuyama,0.0
('already', 'Empress'),0.0
('Yoshitsugu', 'ASHIKAGA'),1.0
('&#91;', 'three'),-1.0
('(', 'Benkankyoku'),-2.0
('Shohaku', 'SOGA'),0.0
('prohibit', 'conventional'),0.0
('materials', 'against'),2.0
('stone', 'axe'),-1.0
('Rissho', 'Ankoku-ron'),-1.0
('either', 'Kansai'),0.0
('Regulation', 'was'),0.0
('Shogun-kokenshoku', 'is'),0.0
('is', 'tatchu'),-4.0
('statistical', 'book'),-1.0
('behalf', 'of'),1.0
('a', 'habitat'),-1.0
('of', 'Kumamoto'),2.0
('中務省', '"'),-3.0
('one', 'month'),-1.0
('village', 'communities'),0.0
('Eiei', ')'),0.0
('of', 'Kyujo'),0.0
('in', 'Inaba'),1.0
('fighting', 'power'),-1.0
('patriot', 'in'),2.0
Talkie,0.0
बुद,-1.0
('system', 'granted'),0.0
('Igo', 'player'),0.0
1138,6.0
('the', 'forty-seven'),2.0
('object', 'was'),-1.0
('active', 'from'),3.0
(',', '1764'),0.0
('TOYOTOMI', 'throughout'),0.0
('which', 'is'),-82.0
(',', '1669'),5.0
('by', 'clipping'),-1.0
(',', 'whereby'),-5.0
('period', 'arranged'),1.0
('Shikigami', 'or'),-1.0
Honchotsugan,1.0
NAKAMURA,66.0
(',', '1182'),2.0
Hone-karakasa,0.0
('in', '1219'),2.0
('Dai-dairi', '('),0.0
源義経,2.0
('Shokushi', 'BOMON'),0.0
('no', 'sekku'),-2.0
('in', 'Ohara'),-2.0
('social', 'etiquette'),0.0
('Hei', 'or'),0.0
('息長宿禰王', ';'),2.0
('March', '29'),3.0
MUTSU,7.0
('Imperial', 'household'),4.0
Shimosa,5.0
('indigenous', 'people'),-1.0
Asakusa,-2.0
('from', '16,500'),0.0
Hashira-jochu,-1.0
('workman', 'of'),2.0
performances,-7.0
('1039', ')'),1.0
Study,6.0
('the', 'similar'),-5.0
('diplomat', 'and'),4.0
('a', 'point'),-5.0
('more', 'specifically'),0.0
('grand', 'sumo'),1.0
('had', 'been'),-3.0
('clan', ')'),-26.0
('FUKUDA', '('),1.0
('gu', "'"),-1.0
('Koyama', 'Kita'),0.0
transmigrate,-1.0
('General', 'Who'),1.0
('Taka-gari', '('),0.0
('plays', 'this'),3.0
('Lake', 'Paradise'),-1.0
('1616', '-'),1.0
Ashikaga-sandai,-1.0
('Land', 'teachings'),-1.0
('assemblies', ','),0.0
('been', 'in'),0.0
Shisen,-1.0
('Rokkakushi', 'Shikimoku'),0.0
('local', 'road'),-1.0
('NURIBE', 'no'),0.0
('contrasted', 'with'),0.0
1798,7.0
('Heian', 'Periods'),1.0
Chikamori,0.0
('meant', 'a'),-1.0
('their', 'daily'),-1.0
('by', 'government'),0.0
Takeaki,0.0
('and', 'rejection'),0.0
Incident,-41.0
('Kyoto', 'which'),0.0
('in', 'Shimo-Takamatsu-cho'),0.0
('uchigi', '('),0.0
('that', 'depicts'),1.0
Asahi,-5.0
('of', 'Yanagihara'),0.0
training,-11.0
('Daigaku-ryo', 'was'),0.0
('as', 'Amanosakahoko'),2.0
('Jimyoin-to', '-'),2.0
('work', 'at'),-1.0
('Japanese', 'clothes'),-4.0
Takasada,0.0
('1087', 'to'),3.0
('then', 'boiling'),0.0
thirds,-2.0
zaike,0.0
('years', 'after'),0.0
Uryu-yama,0.0
('high', 'class'),-1.0
('to', 'dancing'),-1.0
('wounds', 'the'),-1.0
('Kyoto', 'Jinbun'),0.0
('Tokuyama', 'Bus'),0.0
('The', 'Naniwa-zu'),1.0
('sutras', 'and'),0.0
('it', '.'),-15.0
('横死', ')'),-1.0
('25', ','),59.0
('ice', 'cream'),0.0
('main', 'leader'),-2.0
UMEDO,0.0
Nyubachibo,-3.0
('enshrined', '.'),-2.0
('Haremichi', 'KOGA'),0.0
('wheat', 'flour'),-2.0
Yuzu,-2.0
('Jojakko-ji', 'Temple'),0.0
notables,-1.0
('beef', '('),0.0
Peak,-1.0
('who', 'acted'),2.0
Komuso,4.0
('Baisetsu', 'ANAYAMA'),0.0
('Oseifukko', '"'),-1.0
('and', 'Empress'),0.0
('Japanese', 'cypress'),-1.0
plaster,-2.0
('for', 'accompanying'),-4.0
('Japan', 'sovereignty'),-7.0
('Shoyo', 'TSUBOUCHI'),0.0
('Saruishi', 'are'),0.0
(',', '1404'),1.0
('Sonpi', 'Bunmyaku'),-1.0
('of', 'Shintoism'),-4.0
('old', 'when'),1.0
('the', 'representative'),-1.0
('the', 'circular'),-1.0
('the', 'sutras'),0.0
('respect', 'and'),-1.0
('referred', 'to'),-20.0
('the', 'desired'),-1.0
('listed', '.'),-1.0
('Yamato', 'Kingdom'),-1.0
('who', 'assembled'),0.0
('The', 'Toyo'),-2.0
('(', 'book'),-1.0
('(', 'jokyu'),-3.0
('Artificial', 'Buddha'),-5.0
('Movie', 'Land'),-1.0
railroads,0.0
('Tomofusa', 'ONO'),1.0
('coffee', 'shops'),0.0
('The', 'Yowa'),-1.0
('(', 'SL'),0.0
('Morotsura', '('),0.0
Kagemasa,0.0
('Edo', 'Bakufu'),5.0
Saneomi,1.0
('Yamabe-gun', 'in'),-1.0
('Mansai', '('),0.0
('sado', ')'),-2.0
('Sajiro', 'HIRATA'),3.0
Keinawa,0.0
('soboshu', '"'),4.0
('1235', ')'),0.0
('Iromuji', 'is'),0.0
commemorative,-2.0
('business', 'of'),1.0
('country', 'of'),2.0
('Kumaso', 'is'),5.0
c.1104,1.0
('Kai', ','),0.0
higashi-iru,0.0
('O', ','),3.0
('and', 'every'),-1.0
('capital', 'mainly'),-1.0
('Kamigata', '('),2.0
coming,-2.0
('scriptures', 'were'),0.0
('Attack', 'to'),-4.0
('kami', 'of'),2.0
('debts', 'of'),-3.0
Otoiratsume,2.0
('cremation', 'are'),0.0
Sechinichi,0.0
('cho', 'kudashibumi'),-5.0
('applying', 'an'),0.0
Haboku-sansui,-2.0
Toyokumono,-1.0
sciences,1.0
('second', 'Shogun'),1.0
vinegar,-2.0
('eighty-ninth', 'Emperor'),0.0
('after', 'drinking'),0.0
('Mantaro', 'TANI'),2.0
('each', 'year'),-4.0
caddy,-5.0
('direct', 'retainer'),-2.0
('Sashiage', 'is'),0.0
misbehaving,-1.0
('Yogen-in', 'Temple'),0.0
Imai,0.0
('wood', 'shaft'),0.0
Mutsuwa-ki,2.0
('Nagahira', '('),0.0
interaction,-1.0
('Temple', 'Shingon'),0.0
('c.989-November', '8'),0.0
('Koryu-ji', 'Temple'),0.0
Hime-no-kami,0.0
Katagihara,0.0
('rock', 'that'),0.0
('a', 'theater'),-1.0
('Yoshitoshi', 'KIRA'),0.0
('black', 'as'),-1.0
denominations,0.0
('1823', '-'),0.0
('concentrated', 'along'),0.0
Yakizakana,0.0
('collaborative', 'poetry'),0.0
('of', 'Takasaki'),0.0
('been', 'boiled'),-2.0
('Setchin', ')'),-1.0
('Princess', 'Toshi'),1.0
became,0.0
('contains', 'medicine'),-1.0
allocated,0.0
('the', 'deities'),-1.0
('Edo-jo', 'Castle'),1.0
('of', 'Noh'),-20.0
('June', '14,1829'),2.0
('Dojo', ','),-6.0
('songs', ')'),1.0
('daimyogashi', '"'),0.0
('paper', ','),-1.0
('"', 'Sumida-gawa'),0.0
('Ochudo', '('),0.0
('from', 'anti-Mitsubishi'),-1.0
('pork', ','),0.0
('promulgated', 'in'),0.0
("'", 'Jussatsu'),0.0
Ho-gakko,-1.0
('major', 'counselor'),0.0
('1213', ')'),2.0
('1914', 'was'),0.0
('KATAOKA', 'is'),14.0
('those', 'two'),-1.0
(',', 'samurai'),-5.0
('Yorinobu', 'was'),0.0
importance,0.0
18,80.0
('1990', ')'),1.0
('are', 'preserved'),-1.0
('1356', ')'),0.0
indicate,-12.0
('seven', 'herbs'),-2.0
('across', 'religions'),0.0
Saigi,-1.0
('Matsumoto-cho', ','),-1.0
('Masahiko', 'Katori'),0.0
('Miyazu', 'Prefecture'),0.0
('autumn', '.'),0.0
('Takakura', 'family'),-2.0
Myobu,-2.0
('of', 'Tosa'),0.0
('of', 'ronin'),0.0
('this', 'armed'),-3.0
('(', '890'),1.0
('(', 'Government'),0.0
('Wagakki', 'is'),-1.0
('simmered', 'foods'),-2.0
Administrative,2.0
('by', 'nobles'),-1.0
Inyo,-2.0
('that', 'sends'),0.0
('Tanemochi', 'KOKUBUN'),0.0
poetry,132.0
('Kandaka', 'sei'),0.0
('1753', ')'),1.0
('characters', '年期売'),-2.0
('Tax', 'was'),0.0
Goryosho,-1.0
('鈴', ')'),-3.0
('阿曇磯良', 'or'),-1.0
(',', 'Konan-cho'),0.0
('Kawarayama-jo', 'Castle'),0.0
('Amenokoyane', 'no'),0.0
('eight', 'kinds'),-2.0
('undertakes', 'the'),-1.0
('transcends', '"'),0.0
ama,-2.0
('in', 'martial'),-3.0
('present-day', 'Kamogawa'),-1.0
('Koami', 'school'),0.0
('1101', '-'),0.0
('mortar', ')'),-1.0
484,0.0
('jurisdiction', '.'),-1.0
('Eno', ','),-2.0
('Kyoto', 'University'),-3.0
('Nishikyo', ')'),-2.0
('Nairan', ','),0.0
Matsugasaki,0.0
('line', 'which'),-1.0
('Arts', '.'),0.0
('extending', 'an'),0.0
('depict', 'the'),-1.0
('Nanto', 'Yakiuchi'),-1.0
(',', 'Hoso'),-2.0
periodization,-1.0
(')', 'but'),-3.0
('old', 'letter'),1.0
('(', 'ko-ro'),0.0
("'s", 'favorite'),0.0
('only', 'in'),-1.0
('Sanshamairi', 'is'),0.0
('prayer', '.'),0.0
('the', '61st'),0.0
('altar', '.'),-2.0
found,7.0
na,0.0
('and', 'longitude'),0.0
('painted', '.'),3.0
('Higashiyama', 'Bunka'),0.0
('-', 'date'),9.0
(',', '1655'),1.0
('the', 'Shinden'),5.0
('Keihanshin', 'is'),0.0
('makes', 'Raku-yaki'),-1.0
('father', 'as'),-1.0
(',', 'Nagano'),2.0
('to', 'act'),0.0
('to', 'Echizen'),0.0
('thousandth', 'anniversary'),1.0
('Shumon', 'aratame-yaku'),0.0
('representing', 'the'),-3.0
('Nagasunehiko', 'is'),0.0
('Kado-ka', 'is'),-1.0
Kichibe,-2.0
('Taishu', 'Bungei'),0.0
('read', 'as'),0.0
('a', 'statue'),-4.0
('Kenkyu', 'was'),-1.0
('director', 'during'),3.0
Yugisho,0.0
('mitchoku', 'is'),-1.0
Political,-1.0
('a', 'cooling'),0.0
(',', 'Bangladesh'),0.0
('local', 'magistrates'),0.0
Sokan,1.0
KUDARANOKONIKISHI,3.0
('was', 'basic'),0.0
('1658', '-'),3.0
('during', 'in'),2.0
('certificate', 'for'),-5.0
(',', '970'),0.0
race,-3.0
('all', 'railways'),0.0
('A', 'local'),-1.0
wave-like,-1.0
Kabuki-mono,-1.0
Edo-period,2.0
('assessment', 'system'),-1.0
Kiyohiko,2.0
Kita,-5.0
('poetry', 'reading'),-1.0
('Treaty', 'of'),-2.0
('role', ','),3.0
('Boat', ')'),0.0
grass-roots,0.0
('Sonosuke', 'SAWAMURA'),3.0
('Kogo', 'war'),0.0
('Waki-kata', '('),2.0
('Tokaido', 'gojusan'),-1.0
('Totaro', 'UMEGATANI'),1.0
('for', 'language'),-1.0
Sukunahikona,0.0
('pariNaama', '('),-1.0
('910', ')'),0.0
('Shikibu', 'Nikki'),6.0
(';', 'in'),-8.0
('SHIMAZU', 'and'),2.0
Yasutomi,1.0
('Kunimitsu', 'HIROHASHI'),0.0
Mushiokuri,0.0
('earthenware', 'teapot'),-1.0
('bureaucrat', '.'),0.0
('a', 'community'),-6.0
('trees', 'during'),0.0
('banquets', 'and'),0.0
('Gosanjo', '('),0.0
('of', 'ginger'),0.0
Koresue,0.0
('Born', 'in'),13.0
('register', 'for'),-1.0
('Prefecture', 'with'),0.0
Tsu,0.0
('and', 'Maebaru'),-1.0
('Yoshishige', '('),0.0
('pine', ','),0.0
('statutory', 'laws'),-2.0
dialogues,0.0
('The', 'Isso'),0.0
('1884', '.'),-2.0
('Nenjugyoji', 'Utaawase'),-2.0
('settler', 'who'),0.0
(',', 'kobujutsu'),-1.0
('the', 'Kei'),-7.0
('occurring', 'on'),-3.0
('one', 'office'),0.0
('full', 'name'),0.0
('a', 'fire-preventative'),-1.0
('Morizumi', '('),1.0
('Gyoja', 'Reiseki'),0.0
('public', 'on'),-2.0
('are', 'vegetables'),0.0
('(', 'member'),0.0
('a', 'busho'),168.0
('scattered', 'on'),0.0
('Uneme', '('),-4.0
('(', 'Naidaijin'),2.0
('Mikami', 'Domain'),0.0
('The', 'Heguri'),-1.0
('Hirofusa', '('),1.0
1115,1.0
Bunkyo-hifuron,-1.0
('.', 'Shioji'),0.0
('of', 'zori'),-1.0
('Taira', 'depending'),0.0
('respects', 'one'),0.0
('Aptitude', 'Testing'),-2.0
Nihonjin-ron,5.0
('1621', ')'),0.0
('shouted', 'to'),0.0
('of', 'classical'),0.0
('Japanese', 'Renga'),0.0
('Yodohon', 'cho'),0.0
Dam,-1.0
("'s", 'retainer'),3.0
('technical', 'groups'),-3.0
('region', 'under'),-1.0
('teppanyaki', 'cooking'),0.0
('being', 'Amitaabha'),0.0
('in', 'Shimosa'),0.0
('the', 'then'),-2.0
('537', 'to'),0.0
Zenno-ji,0.0
keirin,-1.0
('standards', '('),3.0
('-', '1711'),0.0
('"', 'Yamazaki'),-1.0
('and', 'Ayakashikone'),-1.0
('noble', 'land'),-3.0
('customers', 'by'),0.0
('of', 'formal'),-2.0
('adjudication', ')'),0.0
('called', 'Imo'),0.0
KUTUKI,1.0
('etiquette', 'which'),0.0
('Koshu', 'ondo'),1.0
('Oharae', 'no'),0.0
('Nagisa', 'OSHIMA'),4.0
Goryo-jinja,0.0
('Doken', 'HONEKAWA'),0.0
('male', 'family'),2.0
('imaginary', 'animal'),0.0
('meters', 'above'),-1.0
('its', 'southern'),-1.0
('Tadatake', 'SHIMAZU'),0.0
('November', '3'),5.0
('Yojiya', 'is'),-1.0
(',', '1801-'),2.0
(',', '1612'),4.0
('efforts', 'without'),-1.0
convention,0.0
('are', 'cards'),-1.0
('around', 'Heijo-kyo'),-2.0
Urabe,-4.0
intangible,-9.0
('the', 'placenta'),0.0
(',', 'Tsuge-mura'),-2.0
('Niinamesai', '('),0.0
('-', '1900'),0.0
('Emperor', 'Konin'),0.0
('Kanroni', 'is'),0.0
Noriko,0.0
('precinct', 'of'),-5.0
('Prince', 'Kuniyoshi'),0.0
('nearby', '.'),-1.0
(')', 'performs'),-3.0
('Higashiyama', 'Joshi'),-1.0
OBU,0.0
('Established', 'on'),0.0
Tainei-ji,-1.0
Mokugyo,0.0
('furisode', '('),-1.0
('inside', 'an'),-3.0
('Kanji', '('),-1.0
('left', 'and'),0.0
('performance', 'developed'),-3.0
('(', 'honorable'),-3.0
(',', 'document'),0.0
('celebration', 'conducted'),0.0
('-', '1506'),2.0
Atsuko,0.0
('to', 'constitute'),3.0
('doctorine', 'of'),1.0
('Suketomo', 'HINO'),0.0
('(', '1739'),1.0
('Kokushi', ','),0.0
('the', 'blossom-viewing'),-1.0
accessories,-2.0
thinker,7.0
('San', 'no'),0.0
TAKE,2.0
('at', '3-1'),0.0
1686,2.0
('every', 'January'),0.0
('skewers', '.'),-2.0
('regnant', 'who'),2.0
Sagamu,0.0
differed,0.0
('an', 'accumulation'),0.0
('Confucian', 'scholar'),17.0
sufferings,-1.0
('profession', 'during'),0.0
('Jinmu', 'passed'),3.0
('no', 'Muneyana'),1.0
('lady', 'poet'),0.0
('a', 'food'),-12.0
('territory', 'by'),-1.0
("'", 'nikaeshi'),-1.0
Amino-cho,-6.0
Yakubyo-gami,-2.0
('of', 'Shogun'),-2.0
('trials', 'dealing'),0.0
('or', 'blood'),-1.0
('were', 'monks'),4.0
('earthenware', 'from'),0.0
('Terminal', 'is'),0.0
('revenge', 'for'),-1.0
('and', 'Weaving'),2.0
('or', 'Oomi'),2.0
('were', 'higher'),0.0
('impressions', 'of'),-1.0
Hozan-ki,0.0
Goma,-4.0
('a', 'wall'),-3.0
('anitya', 'in'),-2.0
('Hojo', 'family'),-2.0
iribime,-1.0
('and', 'public'),-3.0
('records', 'on'),0.0
('affiliated', 'with'),-2.0
('main', 'street'),-1.0
('The', 'twenty-one'),-1.0
('(', 'also'),-112.0
Morobobu,1.0
('emperor', 'according'),2.0
('other', '('),-1.0
('poet', 'lived'),0.0
('system', '"'),0.0
('the', 'manuscripts'),4.0
('Imperial', 'sovereignty'),0.0
('and', 'Dajokan'),-1.0
('is', 'incorrect'),1.0
('GOFUKAKUSA-IN', '('),1.0
('of', 'Kagoshima'),-1.0
('(', '1363-1407'),1.0
excerpts,-2.0
('Daichi', '('),0.0
Matsunosuke,1.0
('Kokyo', '.'),1.0
('Shamini', '('),-2.0
('Norihiro', 'OUCHI'),0.0
SANADA,4.0
Yoritaka,0.0
('International', 'Conference'),-1.0
('Castle', 'in'),2.0
Mei,0.0
('Yamato', 'Katsuragi'),-2.0
('shoshi', 'jiken'),0.0
('fugeki', ','),0.0
('agency', 'of'),0.0
Benkankyoku,-2.0
('ushi-tora', ';'),-2.0
('superior', 'to'),-4.0
('MIYAZAKI', 'was'),0.0
('high', 'political'),-1.0
('of', 'Kano'),0.0
Genkuroinari-jinja,0.0
('time', ','),-4.0
('a', 'horizontal'),0.0
(',', 'Yanagihara'),-2.0
Judicial,-3.0
('breadcrumbs', 'in'),0.0
('preparation', 'and'),0.0
('80', 'Route'),0.0
('Uchiuchi', ')'),-2.0
shapes,0.0
('Wakaya', 'Hime'),2.0
('a', 'theme'),3.0
Satoru,0.0
Gekokujo,-1.0
('highest', 'post'),-1.0
('1142', 'to'),0.0
('SANADA', '.'),2.0
('Mitsuhito', '('),0.0
('by', 'shaving'),-1.0
('desires', '.'),0.0
('for', 'narrative'),2.0
('duties', 'and'),-5.0
('The', 'shikoroyane'),0.0
('water', 'to'),-2.0
('arrow', 'in'),0.0
('an', 'Obaku'),0.0
('Luis', 'Frois'),0.0
('Keihan', 'bus'),0.0
('status', ','),0.0
('in', 'Baekje'),2.0
('assigned', 'as'),0.0
('fields', 'belonging'),0.0
('Kinuta', 'is'),0.0
Asatsuna,0.0
('she', 'has'),-2.0
('and', 'Sechi-e'),1.0
('during', 'an'),-1.0
('767', '–'),2.0
(',', '1578'),0.0
('Arashiyama', 'Kita'),0.0
('be', 'allowed'),0.0
Kimiko,3.0
('villa', ')'),0.0
('entangle', 'the'),0.0
Inote,0.0
('state-sponsored', 'provincial'),-1.0
('sparks', 'caused'),-2.0
('railroad', ','),0.0
('498', '-'),1.0
('government-regulated', 'organization'),-5.0
('only', 'high-quality'),-2.0
('to', 'sit'),-1.0
('-', '1917'),2.0
guarantor,-5.0
('ceremony', 'founded'),0.0
(',', '1537'),1.0
shaft,0.0
('newspaper', ')'),0.0
('no', 'Rikyu'),6.0
('quality', ')'),1.0
('for', 'churches'),0.0
('otherwise', 'have'),0.0
Pottery,0.0
('(', 'running'),-1.0
('arts', 'technique'),0.0
thunder,-4.0
Goken-cho,0.0
('KONDO', '('),9.0
('and', 'resisted'),-3.0
('meant', 'three'),0.0
surrounded,-3.0
('own', 'birth'),0.0
('first', 'Kamuyamatoiwarebiko'),2.0
stations,-5.0
('the', 'five-household'),-1.0
('high', 'priests'),0.0
Hirosumi,0.0
Uzagaku,0.0
Tamago,0.0
('covers', 'from'),0.0
('etc', '&#93;'),-1.0
('was', 'MINAMOTO'),0.0
('and', 'respecting'),0.0
('about', 'two'),0.0
Honkan,-4.0
('of', 'allowance'),0.0
('Kyoto', 'dialect'),-1.0
('AKAMATSU', ','),0.0
('Yoshihime', 'or'),1.0
('no', 'Nobumichi'),1.0
('HAYAKAWA', '('),0.0
250,3.0
('Buyaku', 'refers'),-1.0
('accidents', 'at'),0.0
WINS,0.0
Religions,0.0
('religion', '.'),-2.0
('not', 'the'),5.0
('and', 'vistaed'),-1.0
('fourth', 'son'),-5.0
Jokyuki,3.0
('Wars', '.'),0.0
Dainenbutsu,-6.0
('木曽川うかい', ')'),0.0
('made', 'into'),0.0
Nagatoki,-2.0
('"', 'Imakagami'),6.0
sphere,-2.0
1110,0.0
('Kyoto', 'protectorate'),-2.0
(',', 'Bakuchi'),0.0
('Yoshihira', 'KUJO'),0.0
Kouta,-1.0
('shizoku', '('),-4.0
('shugyo', 'is'),-2.0
('Komon', 'is'),0.0
('Meiroku', 'Zasshi'),0.0
('a', 'fifth-rank'),0.0
('Tenju-an', 'Temple'),0.0
('gourd', ')'),-4.0
('Kurokawa-Noh', 'is'),-1.0
Datotsu,0.0
('Rinrigaku', 'is'),1.0
('Akita', 'Jonosuke'),0.0
