tok,count
"Kannon",19
"（",6
"अवलोकितेश",1
"्",4
"वर",1
"Avalokiteśvara",1
"Sanskrit",45
"一尊",1
"尊格",2
"attain",10
"widespread",2
"Senji",4
"ryakketsu",1
"ryakuketsu",1
"Seimei",3
"Makimuku-kofun",2
"Toyoji",1
"TSUZUKI",1
"1880",7
"carpent",2
"shikoroyan",1
"onna-gidayu",1
"Shomon",3
"Jittetsu",1
"excel",4
"pupil",2
"Basho",7
"MATSUO",9
"club",3
"associ",18
"mid-Meiji",2
"Jomon",3
"16,500",1
"3,000",2
"ago",5
"tenth",14
"B.C.",40
"Pleistocen",1
"epoch",2
"Holocen",1
"geolog",1
"compar",9
"Mesolith",1
"Neolith",1
"Fumimaro",1
"1891",12
"Shinanojo",1
"ARICHI",1
"Sumo",2
"Tadamitsu",2
"NAKAyAMA",8
"1864",27
"Masamochi",1
"Igyo",1
"Unmon",2
"Hogen",7
"Daruma",4
"Fuke",3
"Bugyo",4
"Kenmyo-ji",1
"Shoshu",8
"Mimatsuhim",2
"Kaika",3
"Iyo",9
"Shinno",4
"Hen",4
"807",4
"Bunin",2
"Nakanari",1
"774-October",1
"810",4
"Kurodo",14
"konoshi",1
"kariginu",1
"ran",10
"horizontally-wrap",1
"fabric",12
"bottom",3
"noshi",1
"unlin",3
"long-sleev",1
"garment",7
"stitch",1
"Nagauta",2
"formal",21
"therefor",2
"yosenab",1
"one-pot",2
"Ofumi",2
"letter",27
"kana",12
"Rennyo",3
"throughout",13
"Komaro",2
"710",5
"Hidehito",1
"Hidekazu",1
"1639",5
"1687",7
"Toshiuji",1
"Kencho",1
"Tobari",1
"curtain",1
"Takamikura",2
"enthron",9
"Chouga",1
"well-wish",1
"1818",10
"Marugam",1
"Sanuki",7
"Shinden",3
"Kanda",1
"cost",2
"Saishi",2
"Hyoe",2
"SENDA",1
"Shusseken",1
"someth",6
"transcend",1
"Seken",1
"corrupt",1
"evil",12
"earth",11
"yong",1
"Zhou",2
"Dorohaccho",1
"gorg",2
"extend",15
"Shingu",2
"Totsukawa-mura",3
"Soba",1
"berri",1
"Sanefuji",1
"ANO",4
"1634",6
"1694",8
"Budan-ha",1
"will",15
"resort",8
"aim",17
"Toyotomi",16
"Uchiwa",2
"fan",12
"団扇",1
"Hirohashi",1
"kakaku",19
"meik",6
"Shoshiki",1
"commod",3
"Tenkasu",1
"天かす",1
"てんかす",1
"天カス",1
"天滓",1
"deep-fri",4
"tenpura",2
"Both",3
"Ukei",2
"oath",2
"Susano",2
"Kyugo",1
"yunonagashi",1
"Tomokuyu",2
"Yu",2
"mura",4
"magnanim",1
"Reform",10
"reloc",2
"Heijo-kyo",9
"Tenpyo",3
"Toshodai-ji",2
"Kizushi",1
"salt",20
"blue-skin",1
"Bo-no-t",1
"staff",5
"halberd",2
"SEN",10
"Kobei",1
"Nobuharu",1
"FUSEHARA",1
"FUSHIHARA",1
"1790",5
"Shintoism",12
"Tominokoji-dori",1
"Tono",3
"Chujo",2
"Mushanokoji-senk",1
"phase",4
"umeboshi",1
"shiozuk",1
"ume",2
"apricot",2
"sun",9
"preserv",27
"betsuno",1
"sokoku",1
"seed",7
"level",6
"separ",13
"So",8
"Shoso",2
"Fudokoku",1
"stapl",1
"emerg",6
"kyokan",2
"Capit",8
"Iroku",1
"Kiroku",2
"Ifukuryo",1
"Daijokanpu",7
"suffici",1
"fund",5
"Nanryo",1
"Nishu",3
"Gin",2
"circul",14
"high-qual",3
"Ryo",4
"gin",2
"Kanjiro",2
"NISHI",1
"Armi",22
"Itsutsuji-dori",1
"Busu",1
"poison",2
"torikabuto",3
"aconit",1
"nick",1
"Shinsei",2
"SEI",1
"Manari",1
"699",5
"734",3
"epitaph",1
"Xian",3
"939",4
"low",20
"Nishiyamazuka",1
"keyhole-shap",13
"Goryo-",1
"courtesi",1
"repos",5
"curs",2
"goryo",3
"unexpect",1
"Goryo-sai",1
"Sanbo-in",1
"Nariko",6
"1117",1
"kokubo",1
"Mototsuna",5
"TADA",9
"Monzeki",7
"Monseki",1
"successor",19
"anshin",1
"anjin",1
"mind",5
"noth",1
"feel",3
"calm",2
"easi",2
"Monto",1
"comrad",1
"Takamoto",1
"1298",5
"Chusuk",1
"SAWA",3
"Takatsuna",1
"SASAKI",17
"NANIWA",1
"Mitsuna",1
"Makashikan",1
"Practic",2
"Cessat",1
"Contempl",2
"textbook",5
"Shikan",3
"medit",11
"komainu",1
"石獅子",1
"guardian",18
"lion",6
"English",14
"imaginari",2
"mythic",2
"beast",2
"Shiotsuchinooji",1
"Shihotsuchinooji",1
"Shiogama-myojin",1
"Togai",1
"1670",4
"1736",4
"Genzui",2
"1756",8
"Sokin",1
"1455",6
"Hakata",4
"mid-Muromachi",13
"Kirisut",1
"gomen",1
"bear",5
"surnam",11
"wear",24
"Shuta",1
"1904",14
"Nichien",1
"Sukeyo",1
"847",4
"~",6
"Teishin",1
"Shokag",1
"Seikag",1
"request",8
"leav",13
"ge",3
"Utsumi",1
"Uchiumi",1
"Uchimi",1
"Uchikai",1
"Saigoku",4
"Aizen",3
"Junana",1
"Reijo",1
"reijo",6
"Myoo",12
"Ragaraja",2
"Okayama",11
"Songa",1
"Shinm",1
"Jinm",1
"Kaniman-ji",1
"yamashiro-cho",5
"Shoshikai",1
"salon",1
"tank",1
"wide",21
"artisan",6
"Kunitsugu",1
"yASUDA",1
"TOMO",2
"768",1
"Comprehens",5
"Kamezo",1
"MURAKUNI",1
"Komushi",1
"Basic",2
"Informat",1
"Fucha",1
"ryori",8
"vegetarian",1
"Nonin",1
"DAINICHIBO",1
"Hokaku-ji",2
"Kurotaki-mura",1
"Taneyori",1
"HARADA",4
"11th",16
"Togo",1
"Harada",2
"Kawamura",1
"counti",11
"Kokoku",1
"1397",2
"Legitim",2
"Tetsugoro",2
"KAWAI",4
"Kangi-tai",1
"Nanamagaricho",1
"Atsumi",2
"yaki",5
"Monoawas",1
"mono",3
"awas",2
"comparison",1
"1147",5
"1197",2
"Akita",5
"Jonosuk",1
"Akita-jo",1
"Dewa",11
"Hyoron",1
"Shinbun",4
"Kosei",2
"Seijiro",1
"kotsuzumi-kata",3
"drum",13
"Ujiharu",3
"Ietaka",3
"1158",5
"1237",2
"Kajin",13
"assign",7
"Gregorian",6
"gannen",1
"yabunouchi-ryu",1
"Iehiro",2
"1667",2
"Bronz",1
"bronz",3
"alloy",1
"Haruakira",1
"Hareaki",1
"921",4
"1005",4
"Ommyoji",1
"Ommyo",1
"Tsuchimikado",6
"Ommyo-ryo",1
"Bureau",29
"Tosshi",3
"SAWAMUWA",1
"SAWAMURA",10
"Kurahoshi",1
"doso",4
"pawnbrok",3
"moneylend",4
"TAWARAyA",1
"1644",3
"Norihid",2
"1426",4
"1496",3
"Kamigoryomae-dori",1
"Kabuki-mono",1
"かぶき者",1
"傾奇者",1
"歌舞伎者",1
"Kazuraki",6
"oji",6
"Naokag",1
"1533",5
"Odawara",1
"hereinaft",6
"Tametou",1
"REIZEI",15
"1986",4
"KOMA",2
"Jakko",1
"Zaichokanin",1
"lower",29
"Naoka",1
"ANDO",5
"Monaka",1
"bean",31
"jam",3
"wrap",10
"thin",17
"wafer",1
"cake",36
"Ennen",2
"YO",1
"1819",8
"Dairi",4
"Nakatsukasa",2
"yoji",2
"playwright",15
"Toyonaka",1
"state-sponsor",4
"Mountain",15
"Kyujutsu",2
"weapon",12
"samanta",1
"bhadra",1
"entiti",9
"yamakuma",1
"724",6
"Nihongi",6
"Ryaku",2
"Summari",6
"Chronolog",1
"text",12
"excerpt",1
"Rikkokushi",8
"Six",10
"detail",9
"Goichijo",2
"Dema",1
"deliveri",2
"deliv",4
"home",9
"space",5
"Mokudai",1
"deputi",21
"behalf",4
"Sumida-gawa",2
"Sekku",5
"節句",1
"turn",4
"point",7
"peculiar",5
"Merger",2
"consolid",3
"kaban",5
"denot",9
"Kagefuyu",1
"ASAKURA",8
"1495",3
"Tokiwa",3
"812",2
"854",3
"yoryaku",1
"exampl",13
"Saneaki",2
"1625",8
"1668",8
"Hashimoto",2
"Kinosa",2
"Naidaijin",4
"Shin-Buddh",1
"communiti",26
"apprentic",5
"Shiniki",1
"yorishiro",4
"multi-capit",1
"plural",2
"Tadasu",1
"WATANABE",7
"Otome",1
"Maiden",1
"Conscript",1
"Ordinanc",3
"Edict",6
"Dajokan",14
"Non-numb",1
"No.1",1
"enact",10
"oblig",5
"Takamitsu",2
"－",4
"chronicl",12
"Brother",3
"Takunyo",1
"Kimosui",1
"soup",13
"gut",4
"eel",5
"ingredi",21
"Funda-in",1
"Tofuku-ji",10
"either",23
"Shokei",4
"function",12
"involv",12
"doubl",3
"employ",8
"straw",4
"ident",1
"Akugyaku",1
"hachi-gyaku",1
"unpardon",1
"crime",5
"Morotada",2
"Takatsukasa",1
"sekk",8
"Seventh",3
"1930",10
"Dohyo",1
"ring",3
"clay",5
"Masaari",1
"ASUKAI",5
"飛鳥井",1
"雅有",1
"1241",9
"1301",6
"Asukai",2
"Urin",7
"1633",12
"1663",5
"Gyoki-zu",1
"Gyoki",2
"Map",1
"ancient-styl",1
"map",1
"Koretada",3
"857",1
"922",4
"Chishaku-in",2
"yuhigaura",1
"Shirakawa-dori",1
"Tan",2
"擔",1
"yuan",12
"mass",5
"shakkanho",2
"shaku",3
"shakusekiho",1
"Taiwanes",1
"Tobakaido",1
"Shimo-Takamatsu-cho",1
"Fukuin",2
"unknownn",1
"Ryukakuji",1
"Iwaya",1
"Sakae-cho",1
"Inba-gun",1
"Chiba",10
"Tadayoshi",7
"Teisaku",1
"TAKAGI",3
"Dan",1
"Ura",2
"yoru",1
"Kassenki",1
"pornograph",1
"Ishi",4
"Mikumari",1
"Research",1
"Institut",10
"Heritag",5
"Motokiyo",2
"GOTO",9
"Sendai",8
"Kujihongi",2
"Shoshin",2
"Nenbutsug",1
"Gemon",1
"honor",15
"Gyo",1
"Ken",3
"jodo",1
"shinjitsu",1
"kyogyosho",1
"monrui",1
"passag",5
"reveal",1
"true",4
"Kuniko",2
"1209",7
"1283",11
"nyoin",7
"Nagamori",1
"OKABE",2
"1568",12
"1632",8
"1247",5
"#",2
"Takatoshi",2
"Mineyama",13
"Shibichudai",2
"Komyo",5
"Dowag",12
"husband",2
"abdic",4
"Koken",3
"Nakamaro",3
"EMI",1
"Oshikatsu",1
"749",4
"Kiyosu",2
"confer",21
"27th",5
"Sadaoki",3
"Koizumi",1
"Wan",1
"wan",1
"canin",1
"shore",2
"Moriyama",3
"Joshi",5
"upper-class",1
"1871",23
"Haihan-chiken",5
"abolit",7
"Arisugawa-no-miya",3
"Tsunahito",1
"1785",8
"Soan",2
"SUMINOKURA",3
"1571-August",1
"engin",6
"Oryoki",1
"tablewar",3
"kodo",3
"path",13
"Suesada",2
"OBU",1
"Omatsu",1
"TORIOI",1
"Koji",4
"KASHIN",1
"magician",2
"TSUDA",6
"agriculturist",1
"Genna",2
"Tsuho",5
"copper",7
"mint",13
"older",2
"Miso",3
"grain",15
"Kiyokazu",1
"1959",4
"troup",2
"Gozanban",1
"affect",1
"Tenpo-tsuho",1
"Tenpo",5
"yoshinari",6
"yOTSUTSUJI",3
"1326-October",1
"1402",5
"academia",1
"Motofusa",1
"MATSUDONO",2
"1145",4
"1231",5
"Bodaisen",2
"name-brand",2
"reput",4
"qualiti",11
"Monp",1
"pant",1
"sort",8
"hakama",10
"skirt",2
"Bodhidharma",3
"Folk-cultur",1
"folk-cultur",1
"requir",8
"expect",2
"effect",13
"Otondo",1
"811",3
"877",6
"Dento",1
"electr",1
"1888",9
"NOMOTO",1
"Monk-Imperi",15
"Gyoin",1
"OKISOME",3
"Usagi",3
"Otogishu",1
"duti",14
"Fudo",5
"eighteen",5
"Naikaku-shokken",1
"Official",3
"Power",3
"Cabinet",15
"Prime",9
"cabinet",6
"Kuni",13
"ikki",3
"allianc",4
"upris",17
"secur",8
"Gokamon",1
"distinguish",14
"Taka-jo",1
"Kanshoku",2
"Hisho",1
"Motochika",3
"1200",8
"Mitsutsun",1
"deriv",13
"Indian",6
"stupa",1
"Tanritsu",2
"Shukyo",1
"Dantai",1
"aratam",2
"Judgment",1
"Nyobutsu",1
"life-and-death",1
"judgment",3
"Igo",13
"board",24
"captur",11
"admit",2
"kasho",1
"tentat",1
"ko",2
"Takeda-kaido",1
"heart",3
"Takami",2
"876",3
"913",4
"Myojin",2
"remark",4
"miracul",1
"Furikak",1
"particul",1
"soboro-lik",1
"crumbl",1
"condiment",4
"sprinkl",1
"Kagaribi",1
"Cresset",1
"Baishi",2
"Miwako",1
"1096",3
"forth",13
"Gosuzaku",4
"shikimoku",2
"jojo",1
"statement",3
"Tsutomu",3
"SAKUMA",6
"Jurin-in",2
"Michitsuna",1
"936",2
"995",11
"kushikatsu",1
"Chabitsu",1
"chahitsu",1
"茶櫃",1
"lid",5
"non-powd",2
"Motsunab",1
"nabe",1
"Motsu",1
"offal",1
"Atsushi",3
"UEMURA",4
"1933-",2
"Koho",4
"1306",5
"scholar-monk",2
"Tenju",2
"KAN",3
"1727",3
"1795",6
"Ukon",4
"Tachibana",7
"mandarin",2
"orang",2
"Shishin-den",2
"Choya",1
"gunsai",1
"San",8
"hakas",10
"Doctor",3
"Number",1
"classifi",9
"n",2
"prose",3
"Tadahiko",1
"IIDA",1
"Tokuyama",3
"Kinyoshi",2
"Imadegawa",4
"1691-Januari",1
"1722",4
"du",2
"Suino",1
"Kurododokoro",4
"Chamberlain",7
"receipt",1
"disburs",1
"treasuri",1
"Muryoju-kyo",5
"scriptur",19
"Kunibiki",1
"drag",1
"Henohenomoheji",1
"face-lik",1
"pictograph",1
"hiragana",2
"phonet",6
"caricatur",1
"human",17
"Three-day",2
"domest",12
"Jisho-Juei",3
"Kideranomiya",3
"Kuniyasu",1
"1416",4
"Moshitsugishu",1
"Tokitan",1
"far",5
"Tsukemono",2
"紫葉漬け",1
"柴漬",1
"wrong",3
"Hauta",1
"sung",3
"shorter",2
"version",4
"nagauta",2
"Hogyo",2
"czar",1
"grand",20
"monarch",18
"euphemist",1
"Kinnobu",3
"hatamoto",13
"Katsuno",1
"Toa",2
"Kinema",3
"1923-",1
"purchas",2
"1932",11
"Kichigoro",1
"FUJISAKI",1
"seppuku",1
"disembowel",4
"accept",3
"French",5
"sailor",1
"Manyo-gana",2
"syllabari",5
"borrow",4
"Chinese-deriv",1
"pronunci",7
"Koun",1
"Kei",2
"sculptur",7
"Ikuno",4
"Choei",1
"TAKANO",4
"1804",6
"1850",13
"Rekishi",1
"Kairo",1
"Kyogikai",1
"Corridor",1
"Confer",11
"Ishida",1
"sold",9
"Toshizo",1
"HIJIKATA",1
"paramilitari",1
"pro-shogun",1
"ronin",3
"Madenokoji",2
"KATSURAGI",2
"Sotsuhiko",3
"襲津彦",1
"曽都毘古",1
"Sachihiko",1
"沙至比跪",1
"Kodachijutsu",1
"swordsmanship",4
"wakizashi",1
"waist",3
"tsuya",1
"funer",11
"Visit",1
"Campaign",3
"scheme",2
"foreign",21
"tourist",5
"Konin-shiki",1
"negi",1
"onion",8
"Kenson",1
"1564",4
"1595",6
"17th",9
"Kosho-ji",4
"976",1
"1017",2
"sixty-seventh",2
"Bukkyo",4
"Keisuk",3
"SANNAN",1
"Societi",4
"hard-lin",2
"Ichoku",1
"mete",1
"reuslt",1
"lightn",1
"Toshimitsu",3
"SAITO",6
"Kokkagakkai",1
"Faculti",2
"Shigemoto",3
"NIWATA",4
"MONONOBE",6
"Okoshi",1
"Buninjo",1
"specif",29
"TAKAKURA",4
"1664",5
"Konohana",1
"sakuya-bim",1
"goddess",18
"Kassho",1
"NABA",4
"Funa-zushi",1
"specialti",11
"nare",1
"zushi",2
"sushi",14
"crucian",1
"carp",1
"Tanbabashi",1
"Tsutsui",3
"Nishi-machi",1
"Disturb",7
"Shakugo",1
"Sekigo",1
"MATSUNAGA",4
"1657",5
"Narikama",1
"Narigama",1
"Kamanari",1
"yasaka",2
"Nyokoba",1
"Gakuen",2
"Gigei",2
"Geiko",1
"Higashiyama-ku",5
"Seami",1
"Ze-amidabutsu",1
"1363",2
"1443",9
"{",4
"}",4
"Sarugaku",2
"Mujo",1
"anitya",1
"disintegr",1
"constant",1
"transit",4
"without",23
"stationari",2
"Sekisen",1
"KAZANIN",14
"1673",6
"Kaiho",4
"Rei",7
"Emancip",2
"Eta",2
"lowest",3
"Edo-period",4
"cast",6
"anim",8
"carcass",1
"Hinin",3
"ex-convict",1
"vagrant",1
"Hanshun",1
"1112",6
"Masamichi",6
"1789",3
"Nariki-zem",1
"nariki",1
"成り木",1
"責め",1
"zeme",1
"noun",1
"責める",1
"semeru",1
"context",4
"press",5
"fruition",1
"persimmon",2
"chestnut",6
"Kyoko-ji",3
"Takamasa",5
"Mura",1
"Takayasu",4
"yao",2
"1562",7
"Sakanou",4
"Tanka",3
"gone",10
"1707",4
"Hirosada",2
"SEIKANJI",2
"Naidanshu",1
"judg",11
"land-rel",3
"hikitsukekata",1
"naidankata",1
"adjud",1
"Tokifusa",1
"1175",4
"1240",5
"Soroku",2
"KAWAKAMI",8
"川上操六",1
"1899",11
"peerag",16
"Takahisa",2
"21,1729",1
"Oboro-guruma",1
"gissha",3
"ox",1
"cart",1
"Konjaku",9
"Modern",15
"Glean",4
"Haunt",1
"Satori",1
"悟り",1
"awar",2
"what",11
"hasn",1
"'t",2
"Kanji",8
"覚り",1
"awaken",2
"Tokoyo",1
"Kakuriyo",1
"holi",9
"forev",1
"Nobutak",1
"Katabiragatsuji",1
"northwestern",3
"ani",13
"Nikkomon",1
"Nikko",5
"merg",4
"Kenpon",4
"1941",5
"better",1
"Hira-shofuku",1
"948-10",1
"Kitahira",1
"Genbi",1
"1861",5
"eleventh",8
"iemoto",6
"Hayashi",3
"igo",2
"eighth-dan",1
"quasi",4
"Meijin",4
"Ishiyari",1
"chip",4
"spearhead",1
"Otsubon",1
"Jibukyo",1
"Disposit",1
"debt",5
"ask",6
"rescu",2
"Kasho",2
"Hisakuni",1
"AWATAGUCHI",3
"Machidai",1
"Kamitsuunakami",1
"上海上国造",1
"Kamitsuunakamikokuzo",1
"Gunz",1
"Memori",5
"Hikoushio",1
"Hikousi",1
"Furusato",2
"orient",6
"Transport",13
"Kegon",4
"Kenden",1
"survey",9
"farmland",5
"soil",4
"Shakaiei",1
"Ema",1
"wish",6
"gratitud",3
"Kuninomiya",1
"Asahiko",2
"Jikimu",1
"honjo",4
"ryok",2
"virtual",2
"execut",14
"Shomuken",2
"Ashina",4
"Miura",3
"蘆名",1
"芦名",1
"yokosuka",2
"Naoko",1
"OGIMACHI",7
"1803",3
"Nyoin",8
"Masashig",3
"ASAHINA",2
"chi",4
"Rakushisha",1
"hut",3
"fell",3
"Kyorai",1
"MUKAI",1
"Ukyo-ku",8
"Juntaro",1
"Kanazawa",1
"Medicin",4
"Kintoki",2
"childhood",2
"SAKATA",4
"公時",1
"instead",8
"金時",1
"Nishimuko",1
"Muko",5
"yorikag",1
"Masatou",1
"roju",13
"councillor",3
"Onshi",3
"yasuko",11
"Mototsun",2
"nake",2
"particip",10
"go",16
"Masutomi",1
"Geolog",1
"kadomatsu",1
"pine",6
"display",8
"bamboo",18
"Gomyo",1
"750",3
"834",3
"Kangaku",3
"nenbutsu",7
"invoc",9
"Hokekyo",5
"Kidendo",5
"Daigakuryo",4
"1422",3
"1481",3
"Tatari",1
"condit",15
"wherein",2
"calamit",1
"supernatur",6
"yosemune-zukuri",1
"Satoyama",1
"ecosystem",1
"adjac",3
"habitat",2
"Horikawa-dori",1
"Shigetada",5
"plan",11
"Tokimasa",3
"Futamata-gawa",1
"Hodogaya",1
"yokohama",2
"1205",6
"Tanei",1
"1503",3
"1566",7
"Adviser",2
"Kotobuki",1
"Taimen",1
"Confront",1
"壽曾我對面",1
"Kyogen",25
"Azuki-gayu",1
"porridg",4
"azuki",6
"Hoshaku-ji",1
"Mitsuda-",1
"yagyu",4
"Tokusei",3
"Hibun",1
"inscript",5
"Usayama-jo",1
"yamajiro",2
"atop",3
"advantag",4
"ruin",4
"Nishikoori",1
"MIBU",2
"Tadami",1
"Inishikiiribiko",1
"五十瓊敷入彦命",1
"Akiyoshi",3
"Shinnyo-ji",1
"Tojiin",2
"Kitamachi",3
"Uchikowashi",1
"action",8
"destroy",5
"grass-root",1
"Entoku-in",1
"Kodai-ji",2
"Kennin-ji",3
"Kamako",1
"muraji",2
"Kinmei",3
"Monkan",1
"1278",3
"1357",3
"Sukeroku",1
"nicknam",15
"Wisdom",5
"Warehous",1
"Chiegura",1
"Found",1
"Koka",11
"Tsuge-mura",2
"Tsugekoka-cho",1
"OHARIDA",2
"yasumaro",5
"cremat",4
"sit",13
"1969",5
"TSUMORI",1
"Kunimoto",2
"1023",2
"1102",3
"Shogo-in",3
"Shugen",3
"Misasagi",3
"joint",12
"Kensui",1
"Shinja",1
"Nohmen",1
"Katsuyuki",1
"HISAMATSU",1
"Tako",2
"Koreshig",1
"Korenari",1
"953-989",1
"Sadahid",2
"GAMO",5
"Kobungo",1
"NUMAJIRI",1
"c.1835-1902",1
"Nobuhiro",1
"SATO",2
"Shin-Puh-Kan",1
"commerci",3
"586-2",1
"Bano-cho",1
"Aneyakoji-dori",2
"Sagaru",1
"Karasuma-dori",5
"Ina",2
"Agata",4
"Hokusetsu",2
"Suita",1
"Amagasaki",1
"Botan",2
"Increas",1
"Plant",1
"Urban",3
"Area",7
"Sumoru-tera",1
"Small",1
"Terra",1
"Earth",2
"botan",1
"Sandan-ik",1
"Senkei",1
"Natsum",1
"Nigihayahi",2
"folklor",3
"Sukunahikona",1
"Oishi",1
"Suguri",1
"3-355",1
"Onamuchi",2
"Sukunahiko",1
"how",5
"Hashira-jochu",1
"add",4
"shochu",2
"distil",3
"kasudori-shochu",1
"lee",8
"moromi",3
"pressur",3
"yatsurishirohiko",1
"401",2
"Ingyo",3
"Kanpyono",1
"Ontoki",1
"Kisainomiya",1
"Uta-awas",3
"competit",8
"Kihiro",1
"1577",7
"1626",10
"Omura",2
"Sonogi",1
"Genpo",2
"MITSUKURI",4
"Tsuyama",3
"Konwa-kai",1
"Constitut",19
"Jishu-jinja",1
"Suinin",2
"69",2
"70",2
"Giku",1
"Zen-sect",1
"Sekk",5
"yoritsun",4
"legitim",9
"yoritsugu",2
"long-last",1
"disput",12
"Masana",1
"1850-",1
"Kojyo",1
"SONODA",1
"1968",5
"Naniwatsu",1
"port",11
"Western-influenc",1
"prior",8
"oil",8
"could",7
"mimic",2
"Joraku",1
"Jikoji",1
"Tosho",4
"Tenyu",1
"NAKA",2
"Iname",1
"506",2
"570",1
"Kinsumi",1
"SHIGENOI",3
"1671-August",1
"SAKANOUE",23
"Iwatat",1
"Shinobigatana",1
"Ninjato",1
"Shino",1
"Kodo",3
"incense-smel",3
"hanamachi",7
"ascens",1
"Agemai",1
"Kyoho-no-kaikaku",1
"Kyoho",3
"expel",8
"Jesuit",1
"missionari",5
"prohibit",6
"mission",7
"Spain",3
"Portug",2
"Chikuzen",5
"Hakozaki",1
"Terakoya",2
"Takeuchi",3
"1606-August",1
"1684",7
"high-rank",29
"OKUNOMIyA",1
"Peopl",13
"Kumeda",1
"Kumeda-dera",1
"Kishiwada",2
"yagi-mura",1
"Katsumasa",2
"1539-year",1
"Tsunekuni",1
"KAWACHI",1
"Mitsuyuki",2
"Kokimi",1
"2003",4
"Ajikan",1
"Marutamachi-dori",1
"Dazai-fu",4
"Manzaburo",4
"Umewaka",5
"Kanze-ryu",8
"Matsukag",1
"Fuseya",1
"temporari",5
"relief",2
"travel",17
"kodai",2
"ritsuryosei",2
"Jikishi-an",1
"hanhaba",1
"Ojo",2
"Gokuraku-ki",1
"Japanese-vers",1
"ojoden",1
"rebirth",3
"yOSHISHIGE",2
"yasutan",4
"1002",7
"Chagama",1
"yuki-jinja",2
"Rakusaiguchi",1
"Kinjo",4
"Mikado",4
"Kinjo-tei",1
"Shindenbunchi",1
"Bank",7
"Kokuritsu",2
"Ginko",3
"Act",14
"KURAKAKI",1
"Kinkan",2
"unknown-Juli",2
"1246",6
"Miotsukushi",3
"Channel",3
"Buoy",3
"Daimon",1
"Rescript",2
"Soldier",4
"Sailor",1
"Shochoku",4
"Shunoku",1
"Soen",6
"1529",3
"Tadatomo",3
"AOyAMA",5
"jodai",2
"keeper",1
"Osaka-jo",1
"Kogo",6
"incens",7
"Edayoshi",1
"917",1
"Akinobu",2
"KITABATAKE",10
"Kogyu",1
"yOSHIO",1
"1724",6
"Japanese-Dutch",1
"Rishinin",1
"Concubin",1
"Ochi",3
"Amida-ji",3
"Kochidani",1
"Ohara",16
"Kintada",2
"889",1
"948",2
"yoshikuni",2
"Nanshuo",1
"Ikun",1
"lesson",2
"Takamori",7
"SAIGO",8
"Hachiman",6
"Hachiman-shin",1
"Tsunemasa",3
"Fukuhara-kyo",1
"Kiyomori",5
"want",2
"Wada-kyo",1
"failur",1
"toward",20
"Pricess",1
"Masuko",1
"1711-",1
"9,1733",1
"Ieshig",1
"Hiromoto",2
"1148",6
"1225",8
"Kyok",1
"lectur",5
"concert",4
"Sakata",4
"Classic",8
"Music",2
"Sankashu",1
"Saigyo",3
"poet-priest",1
"浪人",1
"wander",2
"furo",1
"vagabond",1
"Chohan",1
"KUMASAKA",1
"thief",1
"yusha",1
"Brave",1
"Man",2
"cavalryman",1
"672",14
"Naomasa",3
"BAN",3
"Taisuk",5
"ITAGAKI",4
"21,1387",1
"Hi",2
"Izuru",1
"Tokoro",1
"Tenshi",2
"manga",3
"cartoon",1
"yAMAGISHI",1
"Sakyo-ku",7
"Archive",1
"archiv",1
"Manpuku-ji",1
"Ichibe",1
"Tanaka",2
"econom",12
"Jujushinron",2
"Mind",1
"Himitsu",2
"Mandala",10
"Abide",1
"Secret",3
"precis",2
"830",4
"Esoter",23
"Establish",3
"Fuken-kai",2
"assembl",4
"specifi",7
"Jokai",2
"Kankiko-ji",2
"Jishu",2
"Hajim",4
"1844",17
"1915",16
"Neishi",1
"1292",4
"nyogo",9
"consort",27
"Gofushimi",1
"Kogon",2
"Zengoro",1
"ceram",15
"Senchiyo",1
"1600",12
"Gobosei",1
"Pentagram",1
"mutual",4
"star-shap",1
"regular",11
"polygon",1
"Tenson-zoku",1
"Tenson",3
"tribe",1
"yorimoto",3
"886",4
"958",5
"Gene",1
"Nobuyuki",3
"Tadafusa",5
"1838-Juli",1
"KUZE",2
"Michinori",2
"1593-1628",1
"1650",10
"1709",12
"Explorer",1
"Type",3
"001",1
"diesel",3
"multipl",6
"railcar",1
"Kuzumochi",1
"kuzuko",1
"kudzu",2
"Nagahiro",2
"HIRANO",2
"Tawaramoto",4
"Nichiin",1
"1518",4
"1589",6
"Shide",1
"fold",11
"Shimenawa",2
"rope",4
"tamagushi",1
"haraegushi",1
"gohei",1
"wand",1
"1106",1
"Kizugawadai",1
"10-2",1
"Takahi",1
"Haze",2
"Kintetsu",39
"Tomotari",1
"Sadatak",1
"1701",4
"Priest",8
"Dojo",6
"1196",8
"1249",5
"Tsunetan",1
"1717-Februari",1
"1781",7
"Onaibutsu",1
"Itosato",1
"Ochudo",2
"ochiudo",1
"remot",3
"rural",2
"Oshikoji",2
"Oshinokoji",1
"Honen-ji",2
"Sagatenryuji",1
"Tateishi-cho",1
"Kaikan",1
"Saishoji-cho",1
"Seika-cho",7
"southwestern",3
"edg",8
"Akitaka",1
"1072",1
"1129",5
"Teishitsu",1
"Gigeiin",1
"craftspeopl",2
"Household",24
"Mansen",1
"Shukai",2
"Bansen",1
"万川集海",1
"萬川集海",1
"strategi",2
"Samuji",1
"yasutak",2
"FUJIBAyASHI",2
"goshi",2
"Nagatonokami",1
"1676",4
"Norimori",2
"Tsunokakushi",1
"bride",2
"wed",2
"coiffur",3
"Bunkintakashimada",1
